   1.300000      0.6007670      0.3023770     -0.2970183    
   1.400000      0.5870270      0.3015898     -0.2967550    
   1.500000      0.5760505      0.3009271     -0.2967117    
   1.600000      0.5667844      0.3005069     -0.2965859    
   1.700000      0.5592499      0.3001180     -0.2966115    
   1.800000      0.5531167      0.2997195     -0.2967478    
   1.900000      0.5476047      0.2995143     -0.2967226    
   2.000000      0.5429121      0.2993486     -0.2967322    
   2.100000      0.5391446      0.2990803     -0.2968762    
   2.200000      0.5355568      0.2989890     -0.2968545    
   2.300000      0.5326408      0.2988281     -0.2969463    
   2.400000      0.5299900      0.2987213     -0.2969890    
