   1.300000      0.7811261      0.3329802     -0.3182280    
   1.400000      0.7522725      0.3265188     -0.3117451    
   1.500000      0.7265944      0.3215539     -0.3071917    
   1.600000      0.7041659      0.3176107     -0.3041101    
   1.700000      0.6844403      0.3145134     -0.3018979    
   1.800000      0.6669477      0.3121117     -0.3001806    
   1.900000      0.6516258      0.3101685     -0.2989431    
   2.000000      0.6382357      0.3085657     -0.2980936    
   2.100000      0.6265392      0.3072069     -0.2975428    
   2.200000      0.6161858      0.3060825     -0.2971462    
   2.300000      0.6067604      0.3052228     -0.2967169    
   2.400000      0.5985677      0.3044350     -0.2965036    
