39 1.5
      10.0000  2.5e-4  5e-5
      7.84760  2.5e-4  5e-5
      6.15850  2.5e-4  5e-5
      4.83290  2.5e-4  5e-5
      3.79270  2.5e-4  5e-5
      2.97640  2.5e-4  5e-5
      2.33570  2.5e-4  5e-5
      1.83300  2.5e-4  5e-5
      1.43840  2.5e-4  5e-5
      1.12880  2.5e-4  5e-5
     0.885870  2.5e-4  5e-5
     0.695190  2.5e-4  5e-5
     0.545560  2.5e-4  5e-5
     0.428130  2.5e-4  5e-5
     0.335980  2.5e-4  5e-5
     0.263670  2.5e-4  5e-5
     0.206910  2.5e-4  5e-5
     0.162380  2.5e-4  5e-5
     0.127430  2.5e-4  5e-5
     0.100000  2.5e-4  5e-5
    0.0784760  2.5e-4  5e-5
    0.0615850  2.5e-4  5e-5
    0.0483290  2.5e-4  5e-5
    0.0379270  2.5e-4  5e-5
    0.0297640  2.5e-4  5e-5
    0.0233570  2.5e-4  5e-5
    0.0183300  2.5e-4  5e-5
    0.0143840  2.5e-4  5e-5
    0.0112880  2.5e-4  5e-5
   0.00885870  2.5e-4  5e-5
   0.00695190  2.5e-4  5e-5
   0.00545560  2.5e-4  5e-5
   0.00428130  2.5e-4  5e-5
   0.00335980  2.5e-4  5e-5
   0.00263670  2.5e-4  5e-5
   0.00206910  2.5e-4  5e-5
   0.00162380  2.5e-4  5e-5
   0.00127430  2.5e-4  5e-5
   0.00100000  2.5e-4  5e-5
